CZAS	TEMP_SONDA	TEMP_POMIESZCZENIE	TEMP_ESP32	REG_VL	REG_Alarm_1	REG_Alarm_2	REG_Alarm_3	REG_HMI_D1_ERROR	REG_HMI_D2_ERROR	pusty	REG_HMI_D3_ERROR	REG_MaxDS_1	REG_MinDS_1	REG_MaxDS_2	REG_MinDS_2	REG_MaxDS_3	REG_MinDS_3	REG_IleCzujnikow	REG_Alarm_VL	REG_IleDetali	REG_VLMaxPomiar	REG_VLMinPomiar	REG_MaxAnalowgowyOdczyt	REG_MaxOdczytFiltr	REG_PrzekroczenieWartosc	REG_MaxAlarm
19:38:16	2956	2662	3250	183	0	0	0	0	0	0	0	2962	2750	2668	2506	4081	2306	3	0	1	203	178	499	1162	196	0	
19:38:17	2956	2662	3250	183	0	0	0	0	0	0	0	2962	2750	2668	2506	4081	2306	3	0	1	203	178	1858	197	196	0	
19:38:18	2956	2668	3250	184	0	0	0	0	0	0	0	2962	2750	2668	2506	4081	2306	3	0	1	203	178	0	1661	198	1	
19:38:19	2956	2662	3250	183	0	0	0	0	0	0	0	2962	2750	2668	2506	4081	2306	3	0	1	203	178	2997	1336	199	0	
19:38:20	2956	2668	3250	184	0	0	0	0	0	0	0	2962	2750	2668	2506	4081	2306	3	0	1	203	178	1867	206	199	0	
19:38:21	2956	2662	3250	184	0	0	0	0	0	0	0	2962	2750	2668	2506	4081	2306	3	0	1	203	178	1625	36	200	0	
19:38:22	2962	2662	3250	182	0	0	0	0	0	0	0	2962	2750	2668	2506	4081	2306	3	0	1	203	178	1636	25	200	0	
19:38:23	2956	2662	3243	183	0	0	0	0	0	0	0	2962	2750	2668	2506	4081	2306	3	0	1	203	178	1674	13	201	0	
19:38:24	2956	2668	3243	184	0	0	0	0	0	0	0	2962	2750	2668	2506	4081	2306	3	0	1	203	178	0	1661	202	1	
19:38:25	2956	2662	3243	184	0	0	0	0	0	0	0	2962	2750	2668	2506	4081	2306	3	0	1	203	178	1635	26	203	0	
19:38:26	2956	2662	3243	184	0	0	0	0	0	0	0	2962	2750	2668	2506	4081	2306	3	0	1	203	178	1494	167	203	0	
19:38:27	2956	2662	3243	183	0	0	0	0	0	0	0	2962	2750	2668	2506	4081	2306	3	0	1	203	178	551	1110	203	0	
19:38:28	2956	2668	3237	183	0	0	0	0	0	0	0	2962	2750	2668	2506	4081	2306	3	0	1	203	178	1858	197	203	0	
19:38:29	2956	2662	3237	184	0	0	0	0	0	0	0	2962	2750	2668	2506	4081	2306	3	0	1	203	178	2230	569	203	0	
19:38:30	2956	2662	3237	183	0	0	0	0	0	0	0	2962	2750	2668	2506	4081	2306	3	0	1	203	178	1614	47	203	0	
19:38:31	2956	2662	3237	184	0	0	0	0	0	0	0	2962	2750	2668	2506	4081	2306	3	0	1	203	178	1808	147	204	0	
19:38:32	2956	2662	3237	183	0	0	0	0	0	0	0	2962	2750	2668	2506	4081	2306	3	0	1	203	178	0	1661	204	1	
19:38:33	2956	2662	3237	184	0	0	0	0	0	0	0	2962	2750	2668	2506	4081	2306	3	0	1	203	178	1820	159	204	0	
19:38:34	2956	2662	3237	184	0	0	0	0	0	0	0	2962	2750	2668	2506	4081	2306	3	0	1	203	178	1845	184	204	0	
19:38:35	2956	2662	3237	184	0	0	0	0	0	0	0	2962	2750	2668	2506	4081	2306	3	0	1	203	178	1597	64	204	0	
19:38:36	2956	2668	3237	183	0	0	0	0	0	0	0	2962	2750	2668	2506	4081	2306	3	0	1	203	178	1649	12	206	0	
19:38:38	2956	2668	3237	183	0	0	0	0	0	0	0	2962	2750	2668	2506	4081	2306	3	0	1	203	178	0	1661	207	1	
19:38:39	2956	2668	3237	183	0	0	0	0	0	0	0	2962	2750	2668	2506	4081	2306	3	0	1	203	178	1230	431	207	0	
19:38:40	2956	2668	3231	183	0	0	0	0	0	0	0	2962	2750	2668	2506	4081	2306	3	0	1	203	178	0	1661	208	1	
19:38:41	2956	2662	3231	183	0	0	0	0	0	0	0	2962	2750	2668	2506	4081	2306	3	0	1	203	178	1619	42	209	0	
19:38:42	2956	2662	3231	183	0	0	0	0	0	0	0	2962	2750	2668	2506	4081	2306	3	0	1	203	178	1680	19	210	0	
19:38:43	2956	2668	3231	183	0	0	0	0	0	0	0	2962	2750	2668	2506	4081	2306	3	0	1	203	178	1566	95	210	0	
19:38:44	2956	2662	3231	183	0	0	0	0	0	0	0	2962	2750	2668	2506	4081	2306	3	0	1	203	178	1584	77	210	0	
19:38:45	2956	2662	3231	183	0	0	0	0	0	0	0	2962	2750	2668	2506	4081	2306	3	0	1	203	178	1841	180	211	0	
19:38:46	2956	2662	3231	183	0	0	0	0	0	0	0	2962	2750	2668	2506	4081	2306	3	0	1	203	178	378	1283	211	0	
19:38:47	2956	2668	3225	182	0	0	0	0	0	0	0	2962	2750	2668	2506	4081	2306	3	0	1	203	178	1638	23	212	0	
19:38:48	2956	2668	3225	183	0	0	0	0	0	0	0	2962	2750	2668	2506	4081	2306	3	0	1	203	178	0	1661	213	1	
19:38:49	2956	2662	3225	184	0	0	0	0	0	0	0	2962	2750	2668	2506	4081	2306	3	0	1	203	178	1808	147	213	0	
19:38:50	2956	2662	3225	183	0	0	0	0	0	0	0	2962	2750	2668	2506	4081	2306	3	0	1	203	178	1669	8	214	0	
19:38:51	2956	2662	3225	183	0	0	0	0	0	0	0	2962	2750	2668	2506	4081	2306	3	0	1	203	178	1802	141	214	0	
19:38:52	2956	2668	3225	183	0	0	0	0	0	0	0	2962	2750	2668	2506	4081	2306	3	0	1	203	178	2971	1310	215	0	
19:38:53	2956	2668	3225	184	0	0	0	0	0	0	0	2962	2750	2668	2506	4081	2306	3	0	1	203	178	0	1661	216	1	
19:38:54	2956	2662	3225	184	0	0	0	0	0	0	0	2962	2750	2668	2506	4081	2306	3	0	1	203	178	1847	186	216	0	
19:38:55	2956	2662	3225	183	0	0	0	0	0	0	0	2962	2750	2668	2506	4081	2306	3	0	1	203	178	1873	212	217	0	
19:38:56	2956	2668	3218	183	0	0	0	0	0	0	0	2962	2750	2668	2506	4081	2306	3	0	1	203	178	0	1661	217	1	
19:38:57	2956	2662	3218	184	0	0	0	0	0	0	0	2962	2750	2668	2506	4081	2306	3	0	1	203	178	1781	120	218	0	
19:38:58	2956	2668	3218	183	0	0	0	0	0	0	0	2962	2750	2668	2506	4081	2306	3	0	1	203	178	1154	507	219	0	
19:38:59	2956	2668	3218	183	0	0	0	0	0	0	0	2962	2750	2668	2506	4081	2306	3	0	1	203	178	1742	81	219	0	
19:39:00	2956	2662	3218	182	0	0	0	0	0	0	0	2962	2750	2668	2506	4081	2306	3	0	1	203	178	1825	164	220	0	
19:39:01	2956	2662	3218	184	0	0	0	0	0	0	0	2962	2750	2668	2506	4081	2306	3	0	1	203	178	625	1036	220	0	
19:39:02	2956	2662	3218	183	0	0	0	0	0	0	0	2962	2750	2668	2506	4081	2306	3	0	1	203	178	1649	12	221	0	
19:39:03	2956	2668	3218	183	0	0	0	0	0	0	0	2962	2750	2668	2506	4081	2306	3	0	1	203	178	1703	42	223	0	
19:39:04	2956	2668	3218	183	0	0	0	0	0	0	0	2962	2750	2668	2506	4081	2306	3	0	1	203	178	2045	384	224	0	
19:39:05	2956	2662	3218	182	0	0	0	0	0	0	0	2962	2750	2668	2506	4081	2306	3	0	1	203	178	1648	13	225	0	
19:39:06	2956	2662	3218	183	0	0	0	0	0	0	0	2962	2750	2668	2506	4081	2306	3	0	1	203	178	703	958	225	0	
19:39:08	2956	2662	3218	183	0	0	0	0	0	0	0	2962	2750	2668	2506	4081	2306	3	0	1	203	178	1535	126	225	0	
19:39:09	2956	2662	3218	183	0	0	0	0	0	0	0	2962	2750	2668	2506	4081	2306	3	0	1	203	178	1504	157	225	0	
19:39:10	2956	2668	3212	182	0	0	0	0	0	0	0	2962	2750	2668	2506	4081	2306	3	0	1	203	178	1625	36	227	0	
19:39:11	2956	2668	3218	183	0	0	0	0	0	0	0	2962	2750	2668	2506	4081	2306	3	0	1	203	178	1233	428	227	0	
19:39:12	2956	2668	3212	184	0	0	0	0	0	0	0	2962	2750	2668	2506	4081	2306	3	0	1	203	178	1599	62	228	0	
19:39:13	2956	2662	3212	184	0	0	0	0	0	0	0	2962	2750	2668	2506	4081	2306	3	0	1	203	178	1763	102	228	0	
19:39:14	2956	2668	3212	184	0	0	0	0	0	0	0	2962	2750	2668	2506	4081	2306	3	0	1	203	178	599	1062	228	0	
19:39:15	2956	2662	3212	183	0	0	0	0	0	0	0	2962	2750	2668	2506	4081	2306	3	0	1	203	178	1693	32	228	0	
19:39:16	2956	2668	3212	182	0	0	0	0	0	0	0	2962	2750	2668	2506	4081	2306	3	0	1	203	178	1805	144	228	0	
19:39:17	2956	2662	3212	183	0	0	0	0	0	0	0	2962	2750	2668	2506	4081	2306	3	0	1	203	178	1555	106	229	0	
19:39:18	2956	2662	3206	183	0	0	0	0	0	0	0	2962	2750	2668	2506	4081	2306	3	0	1	203	178	1050	611	229	0	
19:39:19	2956	2668	3206	183	0	0	0	0	0	0	0	2962	2750	2668	2506	4081	2306	3	0	1	203	178	1821	160	229	0	
19:39:20	2956	2662	3206	182	0	0	0	0	0	0	0	2962	2750	2668	2506	4081	2306	3	0	1	203	178	1152	509	229	0	
19:39:21	2956	2662	3206	183	0	0	0	0	0	0	0	2962	2750	2668	2506	4081	2306	3	0	1	203	178	0	1661	229	1	
19:39:22	2956	2662	3206	183	0	0	0	0	0	0	0	2962	2750	2668	2506	4081	2306	3	0	1	203	178	1808	147	229	0	
19:39:23	2956	2662	3206	184	0	0	0	0	0	0	0	2962	2750	2668	2506	4081	2306	3	0	1	203	178	1623	38	230	0	
19:39:24	2956	2662	3206	183	0	0	0	0	0	0	0	2962	2750	2668	2506	4081	2306	3	0	1	203	178	1406	255	231	0	
19:39:25	2956	2662	3206	183	0	0	0	0	0	0	0	2962	2750	2668	2506	4081	2306	3	0	1	203	178	1595	66	232	0	
19:39:26	2956	2668	3200	183	0	0	0	0	0	0	0	2962	2750	2668	2506	4081	2306	3	0	1	203	178	1655	6	232	0	
19:39:27	2956	2662	3200	183	0	0	0	0	0	0	0	2962	2750	2668	2506	4081	2306	3	0	1	203	178	1734	73	234	0	
19:39:28	2956	2668	3200	184	0	0	0	0	0	0	0	2962	2750	2668	2506	4081	2306	3	0	1	203	178	1390	271	235	0	
19:39:29	2956	2662	3200	184	0	0	0	0	0	0	0	2962	2750	2668	2506	4081	2306	3	0	1	203	178	1589	72	236	0	
19:39:30	2956	2662	3200	182	0	0	0	0	0	0	0	2962	2750	2668	2506	4081	2306	3	0	1	203	178	1635	26	236	0	
19:39:31	2956	2668	3200	183	0	0	0	0	0	0	0	2962	2750	2668	2506	4081	2306	3	0	1	203	178	1691	30	237	0	
19:39:33	2956	2662	3200	183	0	0	0	0	0	0	0	2962	2750	2668	2506	4081	2306	3	0	1	203	178	1648	13	238	0	
19:39:34	2956	2662	3200	184	0	0	0	0	0	0	0	2962	2750	2668	2506	4081	2306	3	0	1	203	178	1849	188	239	0	
19:39:35	2956	2662	3193	183	0	0	0	0	0	0	0	2962	2750	2668	2506	4081	2306	3	0	1	203	178	3051	1390	239	0	
19:39:36	2956	2668	3193	184	0	0	0	0	0	0	0	2962	2750	2668	2506	4081	2306	3	0	1	203	178	0	1661	240	1	
19:39:37	2956	2662	3193	184	0	0	0	0	0	0	0	2962	2750	2668	2506	4081	2306	3	0	1	203	178	1630	31	241	0	
19:39:38	2956	2668	3193	183	0	0	0	0	0	0	0	2962	2750	2668	2506	4081	2306	3	0	1	203	178	1622	39	242	0	
19:39:39	2956	2662	3193	183	0	0	0	0	0	0	0	2962	2750	2668	2506	4081	2306	3	0	1	203	178	0	1661	243	1	
19:39:40	2956	2668	3193	184	0	0	0	0	0	0	0	2962	2750	2668	2506	4081	2306	3	0	1	203	178	1677	16	244	0	
19:39:41	2956	2668	3193	183	0	0	0	0	0	0	0	2962	2750	2668	2506	4081	2306	3	0	1	203	178	1686	25	244	0	
19:39:42	2956	2662	3193	183	0	0	0	0	0	0	0	2962	2750	2668	2506	4081	2306	3	0	1	203	178	1567	94	245	0	
19:39:43	2956	2662	3187	184	0	0	0	0	0	0	0	2962	2750	2668	2506	4081	2306	3	0	1	203	178	1099	562	245	0	
19:39:44	2956	2668	3193	183	0	0	0	0	0	0	0	2962	2750	2668	2506	4081	2306	3	0	1	203	178	1631	30	245	0	
19:39:45	2956	2668	3187	183	0	0	0	0	0	0	0	2962	2750	2668	2506	4081	2306	3	0	1	203	178	1887	226	245	0	
19:39:46	2956	2668	3187	184	0	0	0	0	0	0	0	2962	2750	2668	2506	4081	2306	3	0	1	203	178	1639	22	245	0	
19:39:47	2956	2662	3187	183	0	0	0	0	0	0	0	2962	2750	2668	2506	4081	2306	3	0	1	203	178	1635	26	245	0	
19:39:48	2956	2668	3187	182	0	0	0	0	0	0	0	2962	2750	2668	2506	4081	2306	3	0	1	203	178	1627	34	246	0	
19:39:49	2956	2662	3187	183	0	0	0	0	0	0	0	2962	2750	2668	2506	4081	2306	3	0	1	203	178	1817	156	246	0	
19:39:50	2956	2662	3187	183	0	0	0	0	0	0	0	2962	2750	2668	2506	4081	2306	3	0	1	203	178	0	1661	247	1	
19:39:51	2956	2668	3187	183	0	0	0	0	0	0	0	2962	2750	2668	2506	4081	2306	3	0	1	203	178	1639	22	248	0	
19:39:52	2956	2662	3187	183	0	0	0	0	0	0	0	2962	2750	2668	2506	4081	2306	3	0	1	203	178	1418	243	248	0	
19:39:53	2956	2662	3187	184	0	0	0	0	0	0	0	2962	2750	2668	2506	4081	2306	3	0	1	203	178	1569	92	248	0	
19:39:54	2956	2662	3181	184	0	0	0	0	0	0	0	2962	2750	2668	2506	4081	2306	3	0	1	203	178	1648	13	248	0	
19:39:55	2956	2668	3181	183	0	0	0	0	0	0	0	2962	2750	2668	2506	4081	2306	3	0	1	203	178	1681	20	248	0	
19:39:56	2956	2662	3181	182	0	0	0	0	0	0	0	2962	2750	2668	2506	4081	2306	3	0	1	203	178	1512	149	250	0	
19:39:57	2962	2668	3181	184	0	0	0	0	0	0	0	2962	2750	2668	2506	4081	2306	3	0	1	203	178	1837	176	250	0	
19:39:58	2962	2668	3181	183	0	0	0	0	0	0	0	2962	2750	2668	2506	4081	2306	3	0	1	203	178	1712	51	252	0	
19:39:59	2956	2662	3181	183	0	0	0	0	0	0	0	2962	2750	2668	2506	4081	2306	3	0	1	203	178	1619	42	253	0	
19:40:00	2956	2668	3181	183	0	0	0	0	0	0	0	2962	2750	2668	2506	4081	2306	3	0	1	203	178	2137	476	253	0	
19:40:01	2956	2668	3181	183	0	0	0	0	0	0	0	2962	2750	2668	2506	4081	2306	3	0	1	203	178	1622	39	253	0	
19:40:02	2956	2662	3175	184	0	0	0	0	0	0	0	2962	2750	2668	2506	4081	2306	3	0	1	203	178	1626	35	255	0	
19:40:03	2956	2668	3175	184	0	0	0	0	0	0	0	2962	2750	2668	2506	4081	2306	3	0	1	203	178	1692	31	255	0	
19:40:04	2956	2662	3175	183	0	0	0	0	0	0	0	2962	2750	2668	2506	4081	2306	3	0	1	203	178	1535	126	255	0	
19:40:06	2956	2662	3175	183	0	0	0	0	0	0	0	2962	2750	2668	2506	4081	2306	3	0	1	203	178	1573	88	0	0	
19:40:07	2956	2662	3175	183	0	0	0	0	0	0	0	2962	2750	2668	2506	4081	2306	3	0	1	203	178	0	1661	0	1	
19:40:08	2956	2662	3175	184	0	0	0	0	0	0	0	2962	2750	2668	2506	4081	2306	3	0	1	203	178	0	1661	1	1	
